date,country,country_iso,aidworkers_killed,aidworkers_kidnapped,aidworkers_arrested,event_id,victim_status
#date,#country+name,#country+code,#affected+killed,#affected+kidnapped,#affected+arrested,#event+id,#status+victims
2020-01,South Sudan,SSD,10,,,26342,
2020-01,Bangladesh,BGD,1,,,24120,
2020-01,Mali,MLI,,2,,24104,Freed
2020-01,Afghanistan,AFG,,,1,24119,NoInformation
2020-01,Syria,SYR,1,,,24131,
2020-01,Syria,SYR,2,,,25751,
2020-01,Syria,SYR,1,,,26347,
2020-01,Iraq,IRQ,,4,,24277,Freed
2020-01,South Sudan,SSD,1,,,26341,
2020-01,Syria,SYR,1,,,24136,
2020-01,Syria,SYR,1,,,26223,
2020-01,Syria,SYR,1,,,26226,
2020-01,Syria,SYR,1,,,24144,
2020-01,Syria,SYR,1,,,24145,
2020-01,Syria,SYR,1,,,26475,
2020-01,Syria,SYR,5,,,26496,
2020-01,Syria,SYR,1,,,24148,
2020-01,Cameroon,CMR,,4,,26689,Freed
2020-01,Syria,SYR,1,,,25661,
2020-02,DRC,COD,,1,,25426,Freed
2020-02,Somalia,SOM,,3,,24200,NoInformation
2020-02,DRC,COD,1,,,24198,
2020-02,Syria,SYR,1,,,26240,
2020-02,Syria,SYR,,1,,24320,NoInformation
2020-02,South Sudan,SSD,1,,,24201,
2020-02,South Sudan,SSD,1,,,25640,
2020-02,CAR,CAF,1,,,24960,
2020-02,Syria,SYR,2,,,24208,
2020-02,Syria,SYR,1,,,24214,
2020-02,DRC,COD,,3,,24961,NoInformation
2020-02,DRC,COD,,3,,25430,NoInformation
2020-02,Syria,SYR,,1,,26880,NoInformation
2020-02,South Sudan,SSD,1,,,24963,
2020-02,Ethiopia,ETH,,,15,24199,Freed
2020-03,CAR,CAF,1,,,24964,
2020-03,Nigeria,NGA,,1,,27504,NoInformation
2020-03,South Sudan,SSD,1,,,24273,
2020-03,Syria,SYR,,1,,26629,NoInformation
2020-03,Yemen,YEM,,,4,25756,Freed
2020-03,DRC,COD,,1,,24271,NoInformation
2020-03,Burkina Faso,BFA,,1,,25277,NoInformation
2020-03,Syria,SYR,,,4,24280,Freed
2020-03,Syria,SYR,1,,,24313,
2020-03,Yemen,YEM,,2,,24315,Killed
2020-03,Yemen,YEM,1,,,25755,
2020-03,Afghanistan,AFG,,5,,24962,Freed
2020-03,South Sudan,SSD,1,,,24274,
2020-03,South Kordofan,SDN,,,5,25642,NoInformation
2020-03,DRC,COD,,3,,24325,NoInformation
2020-04,Myanmar,MMR,,,14,27231,NoInformation
2020-04,South Sudan,SSD,1,,,24330,
2020-04,Somalia,SOM,,2,,24329,NoInformation
2020-04,Mali,MLI,,4,,24328,NoInformation
2020-04,South Sudan,SSD,1,,,24331,
2020-04,DRC,COD,,4,,24326,Freed
2020-04,DRC,COD,,3,,25425,NoInformation
2020-04,Myanmar,MMR,1,,,24334,
2020-04,Nigeria,NGA,1,,,25931,
2020-04,Mozambique,MOZ,,1,,24376,Escaped
2020-05,Somalia,SOM,,3,,24411,NoInformation
2020-05,Uganda,UGA,1,,,26476,
2020-05,Afghanistan,AFG,2,,,25182,
2020-05,Turkey,TUR,2,,,24506,
2020-05,South Sudan,SSD,3,,,24498,
2020-05,Mexico,MEX,,,13,24950,NoInformation
2020-05,CAR,CAF,,6,,24531,Freed
2020-05,Somalia,SOM,,7,,24483,Killed
2020-05,Burkina Faso,BFA,2,,,24358,
2020-05,Cameroon,CMR,,7,,25549,Freed
2020-06,Nigeria,NGA,,4,,26570,Killed
2020-06,Mali,MLI,,3,,25560,NoInformation
2020-06,Nigeria,NGA,,3,,24891,Killed
2020-06,Mali,MLI,,3,,24815,"Freed, NoInformation"
2020-06,Somalia,SOM,1,,,24819,
2020-06,Mali,MLI,,1,,24816,NoInformation
